dup,data,Market,Station,Date,Time,Search Phrase,Closed Captions,Hits,Demographic,Minute Ratings,Quarter Hour Ratings,Minute Gains,Minute Losses
,,Oklahoma City,KOCO,30-Dec-21,06:15 PM,fire," , OF THIS FIRE AT AN AUTO WE WERE THERE AS FIRE CREWS WORK",2,Households,3.69,5.677,0.016,0.011
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Females 12-24,0.417,0.775,0.22,0
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Females 18-34,0.814,1.551,0,0.188
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Females 18-49,1.007,1.729,0.097,0.095
,no,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Females 25-49,1.072,2,0.124,0.121
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Females 25-54,1.443,2.471,0.1,0.098
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Females 35-54,1.689,2.598,0.141,0
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Females 50+,10.082,12.11,0,0.191
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Females 55+,11.362,13.497,0,0.225
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Households,8.142,8.919,0.067,0.275
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Males 12-24,0.97,0.97,0,0
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Males 18-34,0.783,0.99,0,0
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Males 18-49,0.624,0.977,0,0
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Males 25-49,0.644,1.106,0,0
